0
"[2060984.0907186198, 2057116.7694978167, 2034370.5967083205, 38061.09870230972]"
"[1914834.3785221202, 1899210.6396214843, 1876409.347194501, 38198.531833230496]"
"[2043448.9739804089, 2027078.5637444118, 2003403.171081912, 38084.996537647334]"
"[1822812.2012381295, 1806519.5981592564, 1781356.2474015409, 37735.59739796492]"
"[1947622.8390254457, 1938013.2627831206, 1913498.162629344, 37007.7047195138]"
"[1862808.0291766266, 1850805.8331088466, 1827000.936148615, 37587.687414915774]"
"[1837638.6624143927, 1818934.8728651307, 1792236.9803197815, 41619.54608089855]"
"[1993511.4529550201, 1979002.8653710717, 1951695.3377701477, 39029.81605685084]"
"[1769865.0047659455, 1750596.184780153, 1726354.419389115, 39264.43003693083]"
"[1945501.9983891475, 1933235.6644653939, 1910141.338062622, 37721.10106866519]"
"[2072963.4148252283, 2063230.129006411, 2039528.8940674453, 37853.53619884101]"
"[2128903.406270335, 2122403.1029169736, 2099544.730912971, 36095.401078100505]"
"[2019602.5137953593, 2007404.8604294832, 1982110.5297219222, 38262.9993335801]"
"[2460325.5217466843, 2451971.583087847, 2422431.849683535, 43815.24055525053]"
"[1920677.1093222776, 1911204.9372541946, 1890379.0073168888, 34109.24331504944]"
"[2125167.267181826, 2115648.8609692315, 2090310.0644069677, 37910.58356716972]"
"[1844524.9197923064, 1829074.8685777604, 1804753.9429297724, 35431.45852745492]"
"[1567867.812071121, 1558714.753496354, 1538478.413137386, 34190.847166234824]"
"[1927765.081524559, 1911923.438393198, 1888510.371946535, 37485.32779314347]"
"[1977477.54464954, 1950901.8137479136, 1924445.1441726822, 41280.97167731647]"
"[2076453.7144379157, 2051944.0479977082, 2028165.0318250898, 39000.76585114135]"
"[1923552.8140291716, 1914510.5369858444, 1887493.8263292613, 38833.118070735625]"
"[2034773.3595699337, 2033891.8546671697, 2008842.489258968, 37869.551453188826]"
"[2086667.5248005323, 2065351.8721964736, 2040367.1079376945, 40114.393466620175]"
"[2015192.377690607, 1999961.1545297306, 1973507.6987397594, 39584.5384073922]"
"[1964025.9057751473, 1950953.8265709952, 1929739.453280093, 35436.82386354403]"
"[1792409.6757469445, 1778786.232407719, 1752598.5196043456, 39179.432744762205]"
"[2122419.9032003633, 2115775.8857887513, 2087232.2719540228, 39857.883074265286]"
"[1813355.6201317504, 1805229.4696809242, 1779824.6336906755, 38471.169313311155]"
"[1896768.419177811, 1885983.062138761, 1860212.9254734705, 36178.53002517774]"
"[2010991.2505480906, 1982158.6884782433, 1956239.4288274834, 39590.11833356881]"
"[1935120.7460244207, 1928517.0866959805, 1906317.7663250628, 37046.18392230367]"
"[1814958.354519791, 1803917.1385560564, 1778881.034162066, 37248.95203925657]"
"[1671534.8576946189, 1646538.4405966934, 1621427.3301949971, 36612.83150669279]"
"[2103920.9567204546, 2090325.4022559165, 2065579.9662756952, 37058.68502125442]"
"[1974728.2178896228, 1966786.6406152018, 1941424.444684933, 38630.7974425113]"
"[1684816.0907971647, 1666441.6380020215, 1643226.4644249529, 37043.49292297604]"
"[1832272.5357405408, 1819744.5368407134, 1796377.203449825, 37256.27039945166]"
"[1768724.8535992752, 1756434.7470904307, 1733253.6066789154, 34800.60606691517]"
"[1962035.8481186822, 1951909.9193122976, 1927375.297881681, 35687.64312584311]"
"[2017015.264940121, 2006442.4343401757, 1985052.868927814, 34232.351747770634]"
"[2025417.3350042063, 2010914.4231589371, 1978013.4741856381, 45685.213025229925]"
"[1838762.4146614687, 1824303.0905820015, 1802391.918009652, 34994.124512950984]"
"[1712177.6290169486, 1702024.060129237, 1674026.035833949, 42314.50916674457]"
"[1933556.5341750893, 1923110.8875294065, 1900709.3012640777, 34678.77320059066]"
"[1748800.5942627378, 1733827.6377859628, 1710225.9447727934, 37693.34625701565]"
"[1788710.4544550774, 1774088.3653771714, 1748383.6268788637, 37649.94438937107]"
"[2181083.765102063, 2170948.006236785, 2150705.082615409, 35457.47420013428]"
"[2026171.5431572176, 2013573.6210771438, 1987573.58248655, 37928.83459387512]"
"[1846410.431668738, 1838365.3140326587, 1814857.5740176744, 35386.777823199074]"
